Messier,NGC,Decouvreur,Annee,Constellation,Objet,Ascension,Declinaison,Mag,Dimension,Distance,Saison
M1,NGC1952,Bévis,1731,Taureau,Reste de Supernova,05h 34m 40.5s,"+22d 01' 10"" ","8,4","6,0' x 4,0'",6 500 a.l.,Hiver
M2,NGC7089,Maraldi,1746,Verseau,Amas Globulaires,21h 33m 37.7s ,"-00d 48' 17""","6,5","11,7'",55 000 a.l.,Automne
M3,NGC5272,Messier,1764,Chiens de Chasse,Amas Globulaires,13h 42m 17.8s,"+28d 22' 11""","6,4","18,6'",48 500 a.l.,Printemps
M4,NGC6121,Chéseaux,1746,Scorpion,Amas Globulaires,16h 23m 43.8s,"-26d 32' 21"" ","5,9","22,8'",9 900 a.l.,Été
M5,NGC5904,Kirch,1702,Serpent,Amas Globulaires,15h 18m 42.4s,"+02d 04' 29"" ","5,8","19,9'",24 800 a.l.,Printemps
M6,NGC6504,Hodierna,1654,Scorpion,Amas Ouvert,17h 40m 14.4s,"-32d 13' 08"" ","4,2","15,0'",1 300 a.l.,Été
M7,NGC6475,?,0,Scorpion,Amas Ouvert,17h 54m 2.7s,"-34d 49' 06""","3,3","30,0'",780 a.l.,Été
M8,NGC6523,Flamsteed,1680,Sagittaire,Nébuleuse à émission,18h 03m 56.1s,"-24d 23' 03""","5,8","90,0' x 40,0'",4 850 a.l.,Été
M9,NGC6333,Messier,1764,Serpentaire,Amas Globulaires,17h 19m 19.6s,"-18d 31' 10"" ","7,9","5,5'",25 800 a.l.,Été
M10,NGC6254,Messier,1764,Serpentaire,Amas Globulaires,16h 57m 12.7s,"-04d 06' 12""","6,6","12,2'",16 300 a.l.,Été
M11,NGC6705,Kirch,1681,Bouclier,Amas Ouvert,18h 51m 13.1s,"-06d 15' 49""","5,8","14,0'",5 600 a.l.,Été
M12,NGC6218,Messier,1764,Serpentaire,Amas Globulaires,16h 47m 18.5s,"-01d 57' 15"" ","6,6","12,2'",18 900 a.l.,Été
M13,NGC6205,Halley,1714,Hercule,Amas Globulaires,16h 41m 45.8s,"+36d 27' 46""","5,9","23,2'",23 500 a.l.,Été
M14,NGC6402,Messier,1764,Serpentaire,Amas Globulaires,17h 37m 42.7s,"-03d 15' 04""","7,6","6,7'",24 000 a.l.,Été
M15,NGC7078,Maraldi,1746,Pégase,Amas Globulaires,21h 30m 7.1s,"+12d 10' 47""","6,4","12,3'",49 500 a.l.,Automne
M16,NGC6611,Chéseaux,1746,Serpent,Nébuleuse à émission,18h 18m 55.5s,"-13d 46' 57""","6,0","25,0'",5 870 a.l.,Été
M17,NGC6618,Chéseaux,1746,Sagittaire,Nébuleuse à émission,18h 20m 55.6s,"-16d 10' 57""","6,0","45,0' x 35,0'",5 870 a.l.,Été
M18,NGC6613,Messier,1764,Sagittaire,Amas Ouvert,18h 20m 1.7s,"-17d 07' 58""","6,9","9,0'",4 900 a.l.,Été
M19,NGC6273,Messier,1764,Serpentaire,Amas Globulaires,117h 02m 43.9s,"-26d 16' 14""","7,2","5,3'",22 500 a.l.,Été
M20,NGC6514,Le Gentil,1749,Sagittaire,Nébuleuse à émission,18h 02m 26.0s,"-23d 02' 03""","6,3","29,0' x 27,0'",2 300 a.l.,Été
M21,NGC6531,Messier,1764,Sagittaire,Amas Ouvert,18h 04m 43.9s,"-22d 30' 02"" ","5,9","13,0'",4 200 a.l.,Été
M22,NGC6656,Ihle,1665,Sagittaire,Amas Globulaires,18h 36m 32.1s,"-23d 53' 56""","5,1","17,0'",7 800 a.l.,Été
M23,NGC6494,Messier,1764,Sagittaire,Amas Ouvert,17h 56m 55.7s,"-19d 01' 03""","5,5","25,0'",2 150 a.l.,Été
M24,NGC6603,Messier,1764,Sagittaire,Amas Ouvert,18h 18m 31.7s,"-18d 24' 58""","11,0","45,0'",16 000 a.l.,Été
M25,IC4725,Chéseaux,1746,Sagittaire,Amas Ouvert,18h 31m 43.8s,"-19d 14' 56""","4,0","35,0'",2 060 a.l.,Été
M26,NGC6694,Le Gentil,1749,Bouclier,Amas Ouvert,18h 45m 19.3s,"-09d 23' 51""","8,0","15,0'",5 100 a.l.,Été
M27,NGC6853,Messier,1764,Renard,Nébuleuse Planétaire,19h 59m 41.8s,"+22d 43' 34""","8,1","348,0''",980 a.l.,Été
M28,NGC6626,Messier,1764,Sagittaire,Amas Globulaires,18h 24m 38.2s,"-24d 51' 59""","6,9","15,0'",19 000 a.l.,Été
M29,NGC6913,Messier,1764,Cygne,Amas Ouvert,20h 23m 58.8s,"+38d 32' 42""","6,6","7,0'",4 100 a.l.,Été
M30,NGC7099,Messier,1764,Capricorne,Amas Globulaires,21h 40m 32.5s,"-23d 10' 24""","7,5","8,9'",41 000 a.l.,Automne
M31,NGC224, ,0,Andromède,Galaxie,00h 42m 51.3s,"+41d 17' 04""","3,5","180,0' x 63,0'","2,25 a.l.",Automne
M32,NGC221,Le Gentil,1749,Andromède,Galaxie,00h 42m 51.3s,"+40d 53' 04""","8,2","7,6' x 5,8'",?,Automne
M33,NGC598,Messier,1764,Triangle,Galaxie,01h 34m 3.7s,"+30d 39' 58""","5,7","62,0. x 39,0'","2,4 a.l.",Automne
M34,NGC1039,Messier,1764,Persée,Amas Ouvert,02h 42m 11.4s ,"+42d 47' 48""","5,2","35,0'",1 450 a.l.,Automne
M35,NGC2168,Chéseaux,1746,Gémeaux,Amas Ouvert,06h 09m 4.6s,"+24d 20' 01""","5,1","30,0'",2 800 a.l.,Hiver
