"M1[3]
","NGC 1952
","Nébuleuse du Crabe
","
","Rémanent de supernova
","6.3
","Taureau
","8.4
","6' × 4'
"
"M2[4]
","NGC 7089
"," 
","
","Amas globulaire
","37.5
","Verseau
","6.5
","16′.0
"
"M3[5]
","NGC 5272
"," 
","
","Amas globulaire
","33.9
","Chiens de chasse
","6.2
","18′.0
"
"M4[6]
","NGC 6121
"," 
","
","Amas globulaire
","7.2
","Scorpion
","5.6
","26′.0
"
"M5[7]
","NGC 5904
"," 
","
","Amas globulaire
","24.5
","Serpent
","5.6
","23′.0
"
"M6[8]
","NGC 6405
","Amas du Papillon
","
","Amas ouvert
","1.6
","Scorpion
","4.2
","25′
"
"M7[9]
","NGC 6475
","Amas de Ptolémée
","
","Amas ouvert
","0.8
","Scorpion
","3.3
","80.0′
"
"M8[10]
","NGC 6523
","Nébuleuse de la Lagune
","
","Nébuleuse et amas ouvert
","5.2
","Sagittaire
","6.0
","90' × 40'
"
"M9[11]
","NGC 6333
"," 
","
","Amas globulaire
","25.8
","Ophiuchus
","7.7
","9.3′
"
"M10[12]
","NGC 6254
"," 
","
","Amas globulaire
","14.3
","Ophiuchus
","6.6
","20′
"
"M11[13]
","NGC 6705
","Amas du Canard Sauvage
","
","Amas ouvert
","6.0
","Écu de Sobieski
","6.3
"
"M12[14]
","NGC 6218
"," 
","
","Amas globulaire
","16.0
","Ophiuchus
","6.7
"
"M13[15]
","NGC 6205
","Grand amas d'Hercule
","
","Amas globulaire
","25.1
","Hercule
","5.8
"
"M14[16]
","NGC 6402
"," 
","
","Amas globulaire
","30.3
","Ophiuchus
","7.6
"
"M15[17]
","NGC 7078
","Nuage de Pégase
","
","Amas globulaire
","33.6
","Pégase
","6.2
"
"M16[18]
","NGC 6611
","Nébuleuse de l'Aigle
","
","Amas ouvert et nébuleuse
","7.0
","Serpent
","6.4
"
"M17[19]
","NGC 6618
","Nébuleuse Oméga, Cygne ou Fer à cheval
","
","Nébuleuse
","5.0
","Sagittaire
","6.0
"
"M18[20]
","NGC 6613
"," 
","
","Amas ouvert
","4.9
","Sagittaire
","7.5
"
"M19[21]
","NGC 6273
"," 
","
","Amas globulaire
","28.0
","Ophiuchus
","6.8
"
"M20[22]
","NGC 6514
","Nébuleuse Trifide
","
","Nébuleuse
","5.2
","Sagittaire
","9.0
","28'
"
"M21[23]
","NGC 6531
"," 
","
","Amas ouvert
","4.25
","Sagittaire
","6.5
"
"M22[24]
","NGC 6656
","Amas du Sagittaire
","
","Amas globulaire
","10.4
","Sagittaire
","5.1
"
"M23[25]
","NGC 6494
"," 
","
","Amas ouvert
","2.15
","Sagittaire
","6.9
"
"M24[26]
","NGC 6603
","Nuage d'étoiles du Sagittaire
","
","Amas d'étoiles de la Voie lactée
","10.0
","Sagittaire
","4.6
"
"M25[27]
","IC 4725
"," 
","
","Amas ouvert
","2.0
","Sagittaire
","4.6
"
"M26[28]
","NGC 6694
"," 
","
","Amas ouvert
","5.0
","Écu de Sobieski
","8.0
"
"M27[29]
","NGC 6853
","Nébuleuse de l'Haltère
","
","Nébuleuse planétaire
","1.25
","Petit Renard
","7.4
"
"M28[30]
","NGC 6626
"," 
","
","Amas globulaire
","18.3
","Sagittaire
","6.8
"
"M29[31]
","NGC 6913
"," 
","
","Amas ouvert
","4.0
","Cygne
","7.1
"
"M30[32]
","NGC 7099
"," 
","
","Amas globulaire
","26.1
","Capricorne
","7.2
"
"M31[33]
","NGC 224
","Galaxie d'Andromède
","
","Galaxie spirale
","2 900
","Andromède
","3.4
","190' × 60'
"
"M32[34]
","NGC 221
"," 
","
","Galaxie elliptique naine
","2 900
","Andromède
","8.1
","8,7' × 6,5'
"
"M33[35]
","NGC 598
","Galaxie du Triangle
","
","Galaxie spirale
","3 000
","Triangle
","6.27
","70,8' × 41,7'
"
"M34[36]
","NGC 1039
"," 
","
","Amas ouvert
","1.4
","Persée
","5.5
"
"M35[37]
","NGC 2168
"," 
","
","Amas ouvert
","2.8
","Gémeaux
","5.3
"
"M36[38]
","NGC 1960
"," 
","
","Amas ouvert
","4.1
","Cocher
","6.3
"
"M37[39]
","NGC 2099
"," 
","
","Amas ouvert
","4.4
","Cocher
","6.2
"
"M38[40]
","NGC 1912
"," 
","
","Amas ouvert
","4.2
","Cocher
","7.4
"
"M39[41]
","NGC 7092
"," 
","
","Amas ouvert
","0.83
","Cygne
","4.6
"
"M40[42]
","WNC4
","Winnecke 4
","
","Étoile binaire
","0.51
","Grande Ourse
","8.4
"
"M41[43]
","NGC 2287
"," 
","
","Amas ouvert
","2.3
","Grand Chien
","4.5
"
"M42[44]
","NGC 1976
","Nébuleuse d'Orion
","
","Nébuleuse
","1.3
","Orion
","4.0
","65,0′ x 60,0′
"
"M43[45]
","NGC 1982
","Nébuleuse de de Mairan
","
","Nébuleuse
","1.3
","Orion
","9.0
"
"M44[46]
","NGC 2632
","Amas de la Crèche ou Amas de la Ruche
","
","Amas ouvert
","0.58
","Cancer
","3.7
"
"M45[47]
","Mel 22
","Pléiades
","
","Amas ouvert
","0.44
","Taureau
","1.6
"
"M46[48]
","NGC 2437
"," 
","
","Amas ouvert
","5.4
","Poupe
","6.0
"
"M47[49]
","NGC 2422
"," 
","
","Amas ouvert
","1.6
","Poupe
","5.2
"
"M48[50]
","NGC 2548
"," 
","
","Amas ouvert
","1.5
","Hydre
","5.5
"
"M49[51]
","NGC 4472
"," 
","
","Galaxie elliptique
","60 000
","Vierge
","8.4
"
"M50[52]
","NGC 2323
"," 
","
","Amas ouvert
","3.2
","Licorne
","5.9
"
"M51[53]
","NGC 5194, NGC 5195
","Galaxie du Tourbillon
","
","Galaxie spirale
","37 000
","Chiens de chasse
","8.4
","9'x7'
"
"M52[54]
","NGC 7654
"," 
","
","Amas ouvert
","5.0
","Cassiopée
","7.3
"
"M53[55]
","NGC 5024
"," 
","
","Amas globulaire
","58.0
","Chevelure de Bérénice
","7.6
"
"M54[56]
","NGC 6715
"," 
","
","Amas globulaire
","87.4
","Sagittaire
","7.6
"
"M55[57]
","NGC 6809
"," 
","
","Amas globulaire
","17.3
","Sagittaire
","6.3
"
"M56[58]
","NGC 6779
"," 
","
","Amas globulaire
","32.9
","Lyre
","8.3
"
"M57[59]
","NGC 6720
","Nébuleuse de l'Anneau
","
","Nébuleuse planétaire
","2.3
","Lyre
","8.8
"
"M58[60]
","NGC 4579
"," 
","
","Galaxie spirale barrée
","60 000
","Vierge
","9.7
"
"M59[61]
","NGC 4621
"," 
","
","Galaxie elliptique
","60 000
","Vierge
","9.6
"
"M60[62]
","NGC 4649
"," 
","
","Galaxie elliptique
","60 000
","Vierge
","8.8
"
"M61[63]
","NGC 4303
"," 
","
","Galaxie spirale
","60 000
","Vierge
","9.7
"
"M62[64]
","NGC 6266
"," 
","
","Amas globulaire
","22.5
","Ophiuchus
","6.5
"
"M63[65]
","NGC 5055
","Galaxie du Tournesol
","
","Galaxie spirale
","37 000
","Chiens de chasse
","8.6
"
"M64[66]
","NGC 4826
","Galaxie de l'Œil noir
","
","Galaxie spirale
","19 000
","Chevelure de Bérénice
","8.5
"
"M65[67]
","NGC 3623
"," 
","
","Galaxie spirale barrée
","35 000
","Lion
","9.3
"
"M66[68]
","NGC 3627
"," 
","
","Galaxie spirale barrée
","35 000
","Lion
","8.9
"
"M67[69]
","NGC 2682
"," 
","
","Amas ouvert
","2.7
","Cancer
","6.1
"
"M68[70]
","NGC 4590
"," 
","
","Amas globulaire
","33.3
","Hydre
","7.8
"
"M69[71]
","NGC 6637
"," 
","
","Amas globulaire
","29.7
","Sagittaire
","7.6
"
"M70[72]
","NGC 6681
"," 
","
","Amas globulaire
","29.3
","Sagittaire
","7.9
"
"M71[73]
","NGC 6838
"," 
","
","Amas globulaire
","13.0
","Flèche
","8.2
"
"M72[74]
","NGC 6981
"," 
","
","Amas globulaire
","55.4
","Verseau
","9.3
"
"M73[75]
","NGC 6994
"," 
","
","Amas ouvert
","2.5
","Verseau
","9.0
"
"M74[76]
","NGC 628
"," 
","
","Galaxie spirale
","35 000
","Poissons
","9.4
"
"M75[77]
","NGC 6864
"," 
","
","Amas globulaire
","67.5
","Sagittaire
","8.5
"
"M76[78]
","NGC 650, NGC 651
","Nébuleuse du Petit Haltère
","
","Nébuleuse planétaire
","3.4
","Persée
","10.1
"
"M77[79]
","NGC 1068
"," 
","
","Galaxie spirale
","60 000
","Baleine
","8.9
"
"M78[80]
","NGC 2068
"," 
","
","Nébuleuse diffuse
","1.6
","Orion
","8.3
"
"M79[81]
","NGC 1904
"," 
","
","Amas globulaire
","42.1
","Lièvre
","7.7
"
"M80[82]
","NGC 6093
"," 
","
","Amas globulaire
","32.6
","Scorpion
","7.3
"
"M81[83]
","NGC 3031
","Galaxie de Bode
","
","Galaxie spirale
","12 000
","Grande Ourse
","6.9
"
"M82[84]
","NGC 3034
","Galaxie du Cigare
","
","Galaxie irrégulière
","12 000
","Grande Ourse
","8.4
"
"M83[85]
","NGC 5236
","Moulinet du Sud
","
","Galaxie spirale barrée
","15 000
","Hydre
","7.6
"
"M84[86]
","NGC 4374
"," 
","
","Galaxie lenticulaire
","60 000
","Vierge
","9.1
"
"M85[87]
","NGC 4382
"," 
","
","Galaxie lenticulaire
","60 000
","Chevelure de Bérénice
","9.1
"
"M86[88]
","NGC 4406
"," 
","
","Galaxie lenticulaire
","60 000
","Vierge
","8.9
"
"M87[89]
","NGC 4486
"," 
","
","Galaxie elliptique
","60 000
","Vierge
","8.6
"
"M88[90]
","NGC 4501
"," 
","
","Galaxie spirale
","60 000
","Chevelure de Bérénice
","9.6
"
"M89[91]
","NGC 4552
"," 
","
","Galaxie elliptique
","60 000
","Vierge
","9.8
"
"M90[92]
","NGC 4569
"," 
","
","Galaxie spirale
","60 000
","Vierge
","9.5
"
"M91[93]
","NGC 4548
"," 
","
","Galaxie spirale barrée
","60 000
","Chevelure de Bérénice
","10.2
"
